player_id,name,position,pro_team,projected_points
2985659,Wil Lutz,K,DEN,133.75
4429025,Quentin Johnston,WR,LAC,133.1305
4259619,Blake Grupe,K,IND,131.39
2976212,Stefon Diggs,WR,WSH,131.26375000000002
4710714,De'Zhaun Stribling,WR,SF,129.82
4036133,T.J. Hockenson,TE,MIN,129.54699999999997
4432620,Parker Washington,WR,JAX,128.83800000000002
4361050,Isaiah Likely,TE,NYG,128.605
4569923,Andy Borregales,K,NE,127.87
4360761,Michael Wilson,WR,ARI,127.58274999999998
4429059,Woody Marks,RB,HOU,127.56
16757,Derek Carr,QB,NO,126.74150000000003
4686728,Gunnar Helm,TE,TEN,126.09
3124679,Jason Sanders,K,NYJ,125.11
4032473,Rashid Shaheed,WR,SEA,124.76025000000001
4430834,Jalen McMillan,WR,TB,124.56275
4243371,Riley Patterson,K,MIA,124.45
3123076,David Njoku,TE,LAC,124.10949999999997
4249087,Matt Gay,K,LV,123.67
4568263,Ryan Fitzgerald,K,CAR,121.96
4242355,Jake Ferguson,TE,DAL,121.61799999999998
3124084,Joey Slye,K,TEN,121.56
4363538,Chad Ryland,K,ARI,120.9
4428557,Tyjae Spears,RB,TEN,120.21799999999999
4430539,Brenton Strange,TE,JAX,119.42200000000003
4258620,Andre Szmyt,K,CLE,119.08
3117256,Dalton Schultz,TE,HOU,119.00599999999999
4385690,Dalton Kincaid,TE,BUF,117.40399999999997
4426385,Zach Charbonnet,RB,SEA,117.18600000000004
4361432,Romeo Doubs,WR,NE,117.06875000000001
4366031,Tank Dell,WR,HOU,116.02950000000004
4685415,Travis Hunter,WR,JAX,114.8
4869645,Caleb Douglas,WR,MIA,114.67
2576925,Darren Waller,TE,CAR,114.32
4432762,Shedeur Sanders,QB,CLE,113.2
4429096,Blake Corum,RB,LAR,108.99800000000002
4241474,Brian Robinson Jr.,RB,ATL,108.33624999999996
3116406,Tyreek Hill,WR,,108.0835
4685261,Germie Bernard,WR,PIT,107.94
4597500,Adonai Mitchell,WR,NYJ,107.66475
4569559,Devaughn Vele,WR,NO,106.92749999999998
14880,Kirk Cousins,QB,LV,106.02325000000002
3116164,Mike Gesicki,TE,CIN,105.62875
4241457,Najee Harris,RB,,105.00150000000004
4382466,Jalen Nailor,WR,LV,103.62424999999999
3051876,Evan Engram,TE,DEN,102.92899999999999
4428718,Tre Tucker,WR,LV,102.86399999999998
4360423,Michael Penix Jr.,QB,ATL,102.2725
4240472,Noah Gray,TE,KC,101.76449999999991
4678008,Jonathon Brooks,RB,CAR,101.62650000000002
4870847,Ja'Kobi Lane,WR,BAL,100.04
4880281,Jordyn Tyson,WR,NO,99.45
3045147,James Conner,RB,ARI,98.76400000000001
15818,Keenan Allen,WR,,98.63674999999999
4038441,Justice Hill,RB,BAL,97.93400000000003
4249417,Jalen Tolbert,WR,MIA,95.92649999999999
3916945,Darius Slayton,WR,NYG,94.63899999999995
4360635,Chig Okonkwo,TE,WSH,94.44625000000002
3122840,Deshaun Watson,QB,CLE,93.30524999999999
3054212,Jonnu Smith,TE,,93.05850000000001
4373626,Tyler Allgeier,RB,ARI,92.45625
3116389,Samaje Perine,RB,CIN,91.88799999999998
4427095,DeMario Douglas,WR,NE,91.88749999999999
4362887,Justin Fields,QB,KC,91.86749999999998
3915411,Ty Johnson,RB,BUF,90.36425
4686612,Tre' Harris,WR,LAC,89.85
4429084,Anthony Richardson Sr.,QB,IND,88.91125000000002
14881,Russell Wilson,QB,,87.59325000000003
4361529,Isiah Pacheco,RB,DET,86.49100000000001
4430034,Xavier Legette,WR,CAR,86.1485
4576297,AJ Barner,TE,SEA,86.077
3929785,Nick Westbrook-Ikhine,WR,IND,85.88250000000002
4428850,Dontayvion Wicks,WR,PHI,85.87424999999999
4429022,Kayshon Boutte,WR,NE,85.04050000000001
5081397,Dylan Sampson,RB,CLE,84.75
4429501,Ray Davis,RB,BUF,83.71625
2969939,Jameis Winston,QB,NYG,83.30625000000003
4870612,Zachariah Branch,WR,ATL,80.38
4361577,Dyami Brown,WR,WSH,80.34450000000002
4686472,Marvin Mims Jr.,WR,DEN,80.10275000000001
4367209,Greg Dulcich,TE,MIA,79.23139999999998
4431280,Troy Franklin,WR,DEN,78.15150000000001
4595342,Oronde Gadsden,TE,LAC,77.11
4685247,Braelon Allen,RB,NYJ,76.895
5081432,Antonio Williams,WR,WSH,76.57
4258595,Cole Kmet,TE,CHI,76.10549999999998
4360797,Tutu Atwell,WR,MIA,75.48199999999997
2972515,Cooper Rush,QB,ATL,74.75800000000005
4586312,Jaylin Noel,WR,HOU,74.08
4702555,Jonah Coleman,RB,DEN,73.61
4241464,Mac Jones,QB,SF,73.21425
4569603,Malik Washington,WR,MIA,73.15849999999999
4600981,Pat Bryant,WR,DEN,72.8
5123663,Isaac TeSlaa,WR,DET,72.79
4429148,Theo Johnson,TE,NYG,72.78
4038524,Gardner Minshew II,QB,ARI,72.30075000000002
15835,Zach Ertz,TE,,72.02699999999997
3059915,Kareem Hunt,RB,,70.90474999999998
4429013,Tank Bigsby,RB,PHI,70.75849999999998
3676833,KaVontae Turpin,WR,DAL,69.53025
4361409,Jahan Dotson,WR,ATL,69.448
4036131,Noah Fant,TE,NO,69.44349999999997
2468609,Taysom Hill,TE,,68.52549999999995
4362619,Chris Rodriguez Jr.,RB,JAX,67.41499999999999
4723820,Omar Cooper Jr.,WR,NYJ,67.06
4242557,Colby Parkinson,TE,LAR,66.7405
2573401,Tyler Higbee,TE,LAR,66.61149999999995
4430802,Darnell Washington,TE,PIT,65.825
4603186,Jack Bech,WR,LV,65.45
4808766,Mason Taylor,TE,NYJ,65.43
4372414,Elijah Moore,WR,PHI,65.26124999999999
3068267,Austin Ekeler,RB,,65.01399999999998
5220680,Ted Hurst III,WR,TB,64.49
4597703,Tory Horton,WR,SEA,64.24
4686658,Mike Washington Jr.,RB,LV,64.01
4240021,Cam Akers,RB,,63.778
3043116,Demarcus Robinson,WR,SF,63.75975000000002
5083754,Ryan Flournoy,WR,DAL,63.54949999999998
4635008,Keon Coleman,WR,BUF,63.278499999999994
4372019,Jerome Ford,RB,WSH,63.1435
4361418,Will Levis,QB,TEN,62.71825
3043275,Austin Hooper,TE,ATL,62.49399999999999
16460,Adam Thielen,WR,PIT,62.15575000000004
4360294,Antonio Gibson,RB,,61.06649999999999
4685397,Jordan James,RB,SF,60.77
3843945,Foster Moreau,TE,HOU,60.467999999999975
4869961,Chris Bell,WR,MIA,60.4
4695404,Isaiah Davis,RB,NYJ,60.31950000000002
4678006,Elijah Arroyo,TE,SEA,60.2
4260394,Aidan O'Connell,QB,LV,59.45300000000006
11252,Joe Flacco,QB,CIN,59.44
4431487,Savion Williams,WR,GB,59.12
4682648,Malachi Fields,WR,NYG,58.94
4569382,Jordan Whittington,WR,LAR,58.932500000000026
4368003,Andrei Iosivas,WR,CIN,57.96274999999999
4596334,Keaton Mitchell,RB,LAC,57.5685
4061956,Ashton Dulin,WR,IND,57.461
4372561,Isaac Guerendo,RB,SF,57.12199999999998
4429023,MarShawn Lloyd,RB,GB,56.85353333333333
4360238,Dameon Pierce,RB,PHI,56.84500000000005
3917914,Olamide Zaccheaus,WR,ATL,56.505750000000006
3930086,Dawson Knox,TE,BUF,56.134499999999996
4685279,Jaydon Blue,RB,DAL,54.58
4429086,Michael Mayer,TE,LV,54.3225
4426844,Elijah Higgins,TE,ARI,53.95899999999999
3116407,Mason Rudolph,QB,PIT,52.62250000000001
4887558,Emanuel Wilson,RB,SEA,52.48124999999999
4240657,Michael Carter,RB,TEN,50.83100000000003
4722893,Jaleel McLaughlin,RB,DEN,50.63975000000001
4036419,Skylar Thompson,QB,BAL,49.94624999999997
3051738,Marquez Valdes-Scantling,WR,DAL,49.836500000000015
4372096,Luke Schoonmaker,TE,DAL,49.02250000000001
4040761,Devin Singletary,RB,NYG,48.684
2976499,Amari Cooper,WR,LV,48.64550000000001
3039707,Mitchell Trubisky,QB,TEN,48.48349999999999
4383351,Trey Lance,QB,LAC,48.27549999999998
4212909,David Moore,WR,CAR,48.161499999999975
4362921,Tyquan Thornton,WR,KC,47.9945
2576336,Ameer Abdullah,RB,JAX,47.924749999999996
5150247,Malik Benson,WR,LV,47.9
4362478,Emari Demercado,RB,KC,47.742999999999995
3045523,Kendrick Bourne,WR,ARI,47.2265
2577327,Tyler Lockett,WR,,46.97624999999999
4430968,Kimani Vidal,RB,LAC,46.90200000000003
4427834,Erick All Jr.,TE,CIN,46.61549999999998
4386544,Xavier Smith,WR,LAR,45.97850000000002
4682745,Jaylen Wright,RB,MIA,45.716000000000015
2576980,Marcus Mariota,QB,WSH,45.59075
4372780,Tommy Tremble,TE,CAR,45.319500000000026
4686422,Xavier Hutchinson,WR,HOU,45.21999999999999
4832955,Emmett Johnson,RB,KC,45.04
4911851,LeQuint Allen Jr.,RB,JAX,44.75
4433970,J.J. McCarthy,QB,MIN,44.72
4426339,Spencer Rattler,QB,NO,44.56149999999997
4036335,Cedrick Wilson Jr.,WR,DET,44.52399999999999
2973405,Kalif Raymond,WR,CHI,44.36150000000001
4242433,Joshua Palmer,WR,BUF,44.23
4242546,Davis Mills,QB,HOU,44.11224999999999
3895856,Christian Kirk,WR,SF,43.7965
4912218,Cyrus Allen,WR,KC,43.66
4241424,Tylan Wallace,WR,CLE,43.482
4241263,Charlie Kolar,TE,LAC,42.367
4239086,Desmond Ridder,QB,,42.104749999999996
3121409,Noah Brown,WR,,41.990750000000006
4430871,Sean Tucker,RB,TB,41.927499999999995
16002,Kyle Juszczyk,RB,SF,41.146000000000015
3044720,Joshua Dobbs,QB,DET,41.11725
16731,Brandin Cooks,WR,,40.903749999999974
4613104,Malachi Corley,WR,CLE,40.78800000000001
4360086,Josh Whyle,TE,GB,40.335
4360438,Brandon Aiyuk,WR,SF,40.12550000000001
15795,DeAndre Hopkins,WR,,39.71749999999999
3134353,Tim Patrick,WR,NYJ,39.52375000000002
4880236,Will Kacmarek,TE,MIA,39.51
3915486,Tyler Conklin,TE,DET,39.43099999999997
4879276,Bryce Lance,WR,NO,39.21
4037235,Greg Dortch,WR,DET,39.01724999999996
5092508,Colbie Young,WR,CIN,38.99
3921690,Josh Oliver,TE,MIN,38.942499999999995
3911853,Adam Trautman,TE,DEN,38.186499999999995
4369863,Cedric Tillman,WR,CLE,37.88049999999997
2991662,Mack Hollins,WR,NE,37.81349999999999
4431588,Ja'Tavion Sanders,TE,CAR,37.76299999999999
2976592,Sterling Shepard,WR,,37.7015
4426496,Cade Stover,TE,HOU,37.571499999999986
3149687,Chris Brooks,RB,GB,37.114999999999995
4831959,Eli Raridon,TE,NE,37.0
4690923,Ben Sinnott,TE,WSH,36.7705
4426948,Luke McCaffrey,WR,WSH,36.74649999999998
14012,Andy Dalton,QB,PHI,36.633999999999986
4685201,Tanner McKee,QB,PHI,36.39499999999999
4429275,Trey Benson,RB,ARI,35.65850000000001
4874509,DJ Giddens,RB,IND,35.23
4869748,Zavion Thomas,WR,CHI,34.69
4692835,Jalen Brooks,WR,ARI,34.56799999999999
4431268,Chimere Dike,WR,TEN,34.38
4426407,Trey Palmer,WR,NO,34.165999999999976
4431545,Will Shipley,RB,PHI,33.98600000000001
3127310,Drew Sample,TE,CIN,33.9105
4602667,Jaylin Lane,WR,WSH,33.87
4711533,Ollie Gordon II,RB,MIA,33.82
4427600,Terrell Jennings,RB,,33.75314999999998
4240703,Kenny Pickett,QB,CAR,33.58274999999999
4241372,Hollywood Brown,WR,PHI,33.39
5088338,Elijah Sarratt,WR,BAL,33.04
4685307,Kevin Coleman Jr.,WR,MIA,32.86
4430841,Carson Beck,QB,ARI,32.46
4696882,Devontez Walker,WR,BAL,32.447500000000005
4259147,Jake Tonges,TE,SF,32.38
3118892,Justin Watson,WR,HOU,32.29900000000001
4372071,Hassan Haskins,RB,NE,32.26600000000002
4035004,Mecole Hardman Jr.,WR,BUF,31.932500000000005
4426485,Jonathan Mingo,WR,DAL,31.437999999999985
3052897,Durham Smythe,TE,BAL,31.327000000000005
4690013,Rasheen Ali,RB,BAL,30.962499999999977
4567096,John Metchie III,WR,CAR,30.708999999999996
2574511,Brandon Allen,QB,NYG,30.357250000000008
4808839,Isaiah Bond,WR,CLE,30.18
4243389,Calvin Austin III,WR,NYG,30.01
3052096,Johnny Mundt,TE,PHI,29.79749999999999
3120348,JuJu Smith-Schuster,WR,NYG,29.743999999999996
4429835,George Holani,RB,SEA,29.5975
2998565,Mo Alie-Cox,TE,IND,29.290000000000006
4240391,Tommy DeVito,QB,NE,29.28475000000001
4361516,Daniel Bellinger,TE,TEN,29.155
2576399,Nick Vannett,TE,SEA,28.932500000000008
14163,Tyrod Taylor,QB,GB,28.834249999999987
4241476,Tyrell Shavers,WR,BUF,28.670500000000004
4710855,Konata Mumpfield,WR,LAR,28.57
4431492,Roman Wilson,WR,PIT,28.37
4244049,Quintin Morris,TE,JAX,28.1965
4696044,Kaelon Black,RB,SF,28.19
4567156,Treylon Burks,WR,WSH,28.183499999999995
15807,Cordarrelle Patterson,RB,,28.100000000000005
4383440,Nate Adkins,TE,DEN,27.861000000000015
4048228,John Bates,TE,WSH,27.849000000000014
4683153,Skyler Bell,WR,BUF,27.84
